epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,24503.1,1.36335,0.65561,0.85847,0.92226,0.84408,0.92375,0.59092,1.2142,0.66441,0.83835,0.008812,0.008812,0.008812
122,24700.8,1.3612,0.65428,0.85756,0.91902,0.84607,0.92357,0.59127,1.21396,0.6639,0.83832,0.0088021,0.0088021,0.0088021
123,24901.1,1.37605,0.66086,0.85991,0.92402,0.84217,0.92392,0.59159,1.21303,0.66333,0.83814,0.0087922,0.0087922,0.0087922
124,25101.6,1.37358,0.65738,0.85753,0.92222,0.84192,0.92344,0.59219,1.21316,0.6634,0.83814,0.0087823,0.0087823,0.0087823
125,25305.9,1.36456,0.65553,0.85504,0.92003,0.84476,0.92382,0.59244,1.21209,0.66239,0.83798,0.0087724,0.0087724,0.0087724
126,25506.4,1.36151,0.65213,0.85539,0.92214,0.84263,0.92273,0.59178,1.21315,0.66273,0.83806,0.0087625,0.0087625,0.0087625
127,25708.5,1.35562,0.64879,0.85322,0.9213,0.84421,0.92282,0.59194,1.21284,0.66255,0.83807,0.0087526,0.0087526,0.0087526
128,25908.1,1.36194,0.6516,0.85687,0.92032,0.8438,0.92284,0.5917,1.21178,0.66412,0.83769,0.0087427,0.0087427,0.0087427
129,26109.1,1.35898,0.65166,0.85542,0.91993,0.84558,0.92327,0.59169,1.21179,0.66296,0.83774,0.0087328,0.0087328,0.0087328
130,26313.4,1.35127,0.65095,0.85567,0.92173,0.8449,0.92337,0.59162,1.21244,0.66512,0.83784,0.0087229,0.0087229,0.0087229
131,26511.7,1.35366,0.65064,0.8539,0.92195,0.84462,0.92342,0.59128,1.21196,0.66549,0.83779,0.008713,0.008713,0.008713
132,26712.9,1.36251,0.65208,0.85753,0.92185,0.84449,0.92338,0.59125,1.21157,0.66327,0.83763,0.0087031,0.0087031,0.0087031
133,26915.4,1.36422,0.6508,0.85416,0.92189,0.84297,0.92313,0.59136,1.21105,0.66076,0.83757,0.0086932,0.0086932,0.0086932
134,27128.8,1.35224,0.65262,0.85475,0.92092,0.84441,0.92312,0.59116,1.21085,0.66178,0.83745,0.0086833,0.0086833,0.0086833
135,27329.2,1.35226,0.64801,0.85431,0.92002,0.8453,0.92311,0.59158,1.20985,0.6623,0.83726,0.0086734,0.0086734,0.0086734
136,27535.3,1.35519,0.64781,0.85626,0.92116,0.84564,0.92359,0.59203,1.20939,0.662,0.83717,0.0086635,0.0086635,0.0086635
